sample_id,video_id,clip_id,modality,source_file,duration_s,valid_duration_s,feature_shape,feature_dim,num_bins,bin_width_s,valid_bins,padding_rule,extractor,source_sha256
-HwX2H8Z4hY$_$9,-HwX2H8Z4hY,9,text,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\9.mp4,7.733984,7.733984,50x768,768,50,0.154680,50,zero vector with text_mask=0,distilbert-base-uncased; mean of last 4 hidden layers; overlap-weighted pooling,90c18e627f27a12c14e21ba24c79edf3008762b4ac26874b490ad3f888381702
-HwX2H8Z4hY$_$9,-HwX2H8Z4hY,9,audio,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\9.mp4,7.733984,7.636312,50x74,74,50,0.154680,50,zero vector with audio_mask=0,16 kHz mono; MFCC/chroma/spectral/pitch/energy statistics,90c18e627f27a12c14e21ba24c79edf3008762b4ac26874b490ad3f888381702
-HwX2H8Z4hY$_$9,-HwX2H8Z4hY,9,vision,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\9.mp4,7.733984,7.733984,50x35,35,50,0.154680,50,nearest center frame; zero vector with vision_mask=0,OpenCV face/appearance/texture/optical-flow descriptors,90c18e627f27a12c14e21ba24c79edf3008762b4ac26874b490ad3f888381702
-NFrJFQijFE$_$1,-NFrJFQijFE,1,text,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-NFrJFQijFE\1.mp4,5.746000,5.746000,50x768,768,50,0.114920,50,zero vector with text_mask=0,distilbert-base-uncased; mean of last 4 hidden layers; overlap-weighted pooling,d8fcf16c6eb51c56947ec3d0549c6f3bc7a0cf1fc5f5d89e8b38d4249a08db4f
-NFrJFQijFE$_$1,-NFrJFQijFE,1,audio,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-NFrJFQijFE\1.mp4,5.746000,5.658875,50x74,74,50,0.114920,50,zero vector with audio_mask=0,16 kHz mono; MFCC/chroma/spectral/pitch/energy statistics,d8fcf16c6eb51c56947ec3d0549c6f3bc7a0cf1fc5f5d89e8b38d4249a08db4f
-NFrJFQijFE$_$1,-NFrJFQijFE,1,vision,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-NFrJFQijFE\1.mp4,5.746000,5.746000,50x35,35,50,0.114920,50,nearest center frame; zero vector with vision_mask=0,OpenCV face/appearance/texture/optical-flow descriptors,d8fcf16c6eb51c56947ec3d0549c6f3bc7a0cf1fc5f5d89e8b38d4249a08db4f
-NFrJFQijFE$_$2,-NFrJFQijFE,2,text,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-NFrJFQijFE\2.mp4,6.856000,6.856000,50x768,768,50,0.137120,50,zero vector with text_mask=0,distilbert-base-uncased; mean of last 4 hidden layers; overlap-weighted pooling,a54a5c144a64f5abd26b19aafa6cea8142ee08e9385fa508fa70c934f6b616c1
-NFrJFQijFE$_$2,-NFrJFQijFE,2,audio,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-NFrJFQijFE\2.mp4,6.856000,6.698313,50x74,74,50,0.137120,49,zero vector with audio_mask=0,16 kHz mono; MFCC/chroma/spectral/pitch/energy statistics,a54a5c144a64f5abd26b19aafa6cea8142ee08e9385fa508fa70c934f6b616c1
-NFrJFQijFE$_$2,-NFrJFQijFE,2,vision,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-NFrJFQijFE\2.mp4,6.856000,6.856000,50x35,35,50,0.137120,50,nearest center frame; zero vector with vision_mask=0,OpenCV face/appearance/texture/optical-flow descriptors,a54a5c144a64f5abd26b19aafa6cea8142ee08e9385fa508fa70c934f6b616c1
-THoVjtIkeU$_$12,-THoVjtIkeU,12,text,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-THoVjtIkeU\12.mp4,14.896029,14.896029,50x768,768,50,0.297921,50,zero vector with text_mask=0,distilbert-base-uncased; mean of last 4 hidden layers; overlap-weighted pooling,e2f148f4f2e74724dc13b3ce870a0ce6a06740cfc224f5a9b3d0a870b196e7d4
-THoVjtIkeU$_$12,-THoVjtIkeU,12,audio,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-THoVjtIkeU\12.mp4,14.896029,14.805563,50x74,74,50,0.297921,50,zero vector with audio_mask=0,16 kHz mono; MFCC/chroma/spectral/pitch/energy statistics,e2f148f4f2e74724dc13b3ce870a0ce6a06740cfc224f5a9b3d0a870b196e7d4
-THoVjtIkeU$_$12,-THoVjtIkeU,12,vision,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-THoVjtIkeU\12.mp4,14.896029,14.896029,50x35,35,50,0.297921,50,nearest center frame; zero vector with vision_mask=0,OpenCV face/appearance/texture/optical-flow descriptors,e2f148f4f2e74724dc13b3ce870a0ce6a06740cfc224f5a9b3d0a870b196e7d4
-THoVjtIkeU$_$2,-THoVjtIkeU,2,text,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-THoVjtIkeU\2.mp4,4.291992,4.291992,50x768,768,50,0.085840,50,zero vector with text_mask=0,distilbert-base-uncased; mean of last 4 hidden layers; overlap-weighted pooling,35a6c2464ffd68dd96411edb5dc2763f0efb59f264c1d8b737e616fa6b0d1d5b
-THoVjtIkeU$_$2,-THoVjtIkeU,2,audio,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-THoVjtIkeU\2.mp4,4.291992,4.230875,50x74,74,50,0.085840,50,zero vector with audio_mask=0,16 kHz mono; MFCC/chroma/spectral/pitch/energy statistics,35a6c2464ffd68dd96411edb5dc2763f0efb59f264c1d8b737e616fa6b0d1d5b
-THoVjtIkeU$_$2,-THoVjtIkeU,2,vision,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-THoVjtIkeU\2.mp4,4.291992,4.291992,50x35,35,50,0.085840,50,nearest center frame; zero vector with vision_mask=0,OpenCV face/appearance/texture/optical-flow descriptors,35a6c2464ffd68dd96411edb5dc2763f0efb59f264c1d8b737e616fa6b0d1d5b
-THoVjtIkeU$_$6,-THoVjtIkeU,6,text,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-THoVjtIkeU\6.mp4,8.097005,8.097005,50x768,768,50,0.161940,50,zero vector with text_mask=0,distilbert-base-uncased; mean of last 4 hidden layers; overlap-weighted pooling,efaa55ee6394032c867046690a92c29edfd825005f0a090cca5ccb763b227f64
-THoVjtIkeU$_$6,-THoVjtIkeU,6,audio,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-THoVjtIkeU\6.mp4,8.097005,7.982875,50x74,74,50,0.161940,50,zero vector with audio_mask=0,16 kHz mono; MFCC/chroma/spectral/pitch/energy statistics,efaa55ee6394032c867046690a92c29edfd825005f0a090cca5ccb763b227f64
-THoVjtIkeU$_$6,-THoVjtIkeU,6,vision,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-THoVjtIkeU\6.mp4,8.097005,8.097005,50x35,35,50,0.161940,50,nearest center frame; zero vector with vision_mask=0,OpenCV face/appearance/texture/optical-flow descriptors,efaa55ee6394032c867046690a92c29edfd825005f0a090cca5ccb763b227f64
-UuX1xuaiiE$_$1,-UuX1xuaiiE,1,text,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-UuX1xuaiiE\1.mp4,10.350000,10.350000,50x768,768,50,0.207000,50,zero vector with text_mask=0,distilbert-base-uncased; mean of last 4 hidden layers; overlap-weighted pooling,d5bbda38fcec15817d2b87bab5dcc559d6d425f7d28a82e6c32d13f14b48650c
-UuX1xuaiiE$_$1,-UuX1xuaiiE,1,audio,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-UuX1xuaiiE\1.mp4,10.350000,10.267500,50x74,74,50,0.207000,50,zero vector with audio_mask=0,16 kHz mono; MFCC/chroma/spectral/pitch/energy statistics,d5bbda38fcec15817d2b87bab5dcc559d6d425f7d28a82e6c32d13f14b48650c
-UuX1xuaiiE$_$1,-UuX1xuaiiE,1,vision,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-UuX1xuaiiE\1.mp4,10.350000,10.350000,50x35,35,50,0.207000,50,nearest center frame; zero vector with vision_mask=0,OpenCV face/appearance/texture/optical-flow descriptors,d5bbda38fcec15817d2b87bab5dcc559d6d425f7d28a82e6c32d13f14b48650c
-UuX1xuaiiE$_$0,-UuX1xuaiiE,0,text,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-UuX1xuaiiE\0.mp4,3.633333,3.633333,50x768,768,50,0.072667,50,zero vector with text_mask=0,distilbert-base-uncased; mean of last 4 hidden layers; overlap-weighted pooling,f578b305d53bc152702f5e771de0fcd12d1e9aaefc5cefce3d2082a417aab7c8
-UuX1xuaiiE$_$0,-UuX1xuaiiE,0,audio,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-UuX1xuaiiE\0.mp4,3.633333,3.575875,50x74,74,50,0.072667,50,zero vector with audio_mask=0,16 kHz mono; MFCC/chroma/spectral/pitch/energy statistics,f578b305d53bc152702f5e771de0fcd12d1e9aaefc5cefce3d2082a417aab7c8
-UuX1xuaiiE$_$0,-UuX1xuaiiE,0,vision,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-UuX1xuaiiE\0.mp4,3.633333,3.633333,50x35,35,50,0.072667,50,nearest center frame; zero vector with vision_mask=0,OpenCV face/appearance/texture/optical-flow descriptors,f578b305d53bc152702f5e771de0fcd12d1e9aaefc5cefce3d2082a417aab7c8
-UuX1xuaiiE$_$3,-UuX1xuaiiE,3,text,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-UuX1xuaiiE\3.mp4,4.130013,4.130013,50x768,768,50,0.082600,50,zero vector with text_mask=0,distilbert-base-uncased; mean of last 4 hidden layers; overlap-weighted pooling,eddb408f25bdc13e6de2fb74caeed709cb7a8f00640e7897135330437f66a2aa
-UuX1xuaiiE$_$3,-UuX1xuaiiE,3,audio,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-UuX1xuaiiE\3.mp4,4.130013,4.038375,50x74,74,50,0.082600,49,zero vector with audio_mask=0,16 kHz mono; MFCC/chroma/spectral/pitch/energy statistics,eddb408f25bdc13e6de2fb74caeed709cb7a8f00640e7897135330437f66a2aa
-UuX1xuaiiE$_$3,-UuX1xuaiiE,3,vision,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-UuX1xuaiiE\3.mp4,4.130013,4.130013,50x35,35,50,0.082600,50,nearest center frame; zero vector with vision_mask=0,OpenCV face/appearance/texture/optical-flow descriptors,eddb408f25bdc13e6de2fb74caeed709cb7a8f00640e7897135330437f66a2aa
-UuX1xuaiiE$_$6,-UuX1xuaiiE,6,text,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-UuX1xuaiiE\6.mp4,8.113997,8.113997,50x768,768,50,0.162280,50,zero vector with text_mask=0,distilbert-base-uncased; mean of last 4 hidden layers; overlap-weighted pooling,f0131ac00e44410fbd32c547a0d421c2791172434fc0203bb969abe14a530532
-UuX1xuaiiE$_$6,-UuX1xuaiiE,6,audio,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-UuX1xuaiiE\6.mp4,8.113997,7.943812,50x74,74,50,0.162280,49,zero vector with audio_mask=0,16 kHz mono; MFCC/chroma/spectral/pitch/energy statistics,f0131ac00e44410fbd32c547a0d421c2791172434fc0203bb969abe14a530532
-UuX1xuaiiE$_$6,-UuX1xuaiiE,6,vision,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-UuX1xuaiiE\6.mp4,8.113997,8.113997,50x35,35,50,0.162280,50,nearest center frame; zero vector with vision_mask=0,OpenCV face/appearance/texture/optical-flow descriptors,f0131ac00e44410fbd32c547a0d421c2791172434fc0203bb969abe14a530532
-a55Q6RWvTA$_$3,-a55Q6RWvTA,3,text,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-a55Q6RWvTA\3.mp4,22.153971,22.153971,50x768,768,50,0.443079,50,zero vector with text_mask=0,distilbert-base-uncased; mean of last 4 hidden layers; overlap-weighted pooling,15d029fc15f50b268b98f1e8abc65e45582e638c13a018d7aa74a18373275946
-a55Q6RWvTA$_$3,-a55Q6RWvTA,3,audio,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-a55Q6RWvTA\3.mp4,22.153971,22.083313,50x74,74,50,0.443079,50,zero vector with audio_mask=0,16 kHz mono; MFCC/chroma/spectral/pitch/energy statistics,15d029fc15f50b268b98f1e8abc65e45582e638c13a018d7aa74a18373275946
-a55Q6RWvTA$_$3,-a55Q6RWvTA,3,vision,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-a55Q6RWvTA\3.mp4,22.153971,22.153971,50x35,35,50,0.443079,50,nearest center frame; zero vector with vision_mask=0,OpenCV face/appearance/texture/optical-flow descriptors,15d029fc15f50b268b98f1e8abc65e45582e638c13a018d7aa74a18373275946
-aNfi7CP8vM$_$7,-aNfi7CP8vM,7,text,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-aNfi7CP8vM\7.mp4,8.694987,8.694987,50x768,768,50,0.173900,50,zero vector with text_mask=0,distilbert-base-uncased; mean of last 4 hidden layers; overlap-weighted pooling,0b6389f45bb966113c65a11998c6e7facdd24c8c42acf2e8cf32e0f2139402e1
-aNfi7CP8vM$_$7,-aNfi7CP8vM,7,audio,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-aNfi7CP8vM\7.mp4,8.694987,8.537688,50x74,74,50,0.173900,50,zero vector with audio_mask=0,16 kHz mono; MFCC/chroma/spectral/pitch/energy statistics,0b6389f45bb966113c65a11998c6e7facdd24c8c42acf2e8cf32e0f2139402e1
-aNfi7CP8vM$_$7,-aNfi7CP8vM,7,vision,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-aNfi7CP8vM\7.mp4,8.694987,8.694987,50x35,35,50,0.173900,50,nearest center frame; zero vector with vision_mask=0,OpenCV face/appearance/texture/optical-flow descriptors,0b6389f45bb966113c65a11998c6e7facdd24c8c42acf2e8cf32e0f2139402e1
-aqamKhZ1Ec$_$0,-aqamKhZ1Ec,0,text,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-aqamKhZ1Ec\0.mp4,10.966667,10.966667,50x768,768,50,0.219333,50,zero vector with text_mask=0,distilbert-base-uncased; mean of last 4 hidden layers; overlap-weighted pooling,6f6e674bbba4353399e9e7825217f37e6d8ca1adf9675f33cf37106f31c55548
-aqamKhZ1Ec$_$0,-aqamKhZ1Ec,0,audio,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-aqamKhZ1Ec\0.mp4,10.966667,10.890187,50x74,74,50,0.219333,50,zero vector with audio_mask=0,16 kHz mono; MFCC/chroma/spectral/pitch/energy statistics,6f6e674bbba4353399e9e7825217f37e6d8ca1adf9675f33cf37106f31c55548
-aqamKhZ1Ec$_$0,-aqamKhZ1Ec,0,vision,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-aqamKhZ1Ec\0.mp4,10.966667,10.966667,50x35,35,50,0.219333,50,nearest center frame; zero vector with vision_mask=0,OpenCV face/appearance/texture/optical-flow descriptors,6f6e674bbba4353399e9e7825217f37e6d8ca1adf9675f33cf37106f31c55548
-dxfTGcXJoc$_$1,-dxfTGcXJoc,1,text,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-dxfTGcXJoc\1.mp4,16.161003,16.161003,50x768,768,50,0.323220,50,zero vector with text_mask=0,distilbert-base-uncased; mean of last 4 hidden layers; overlap-weighted pooling,b5ffdc98a4a98b8f0aae55dee5fed66a43bcb129f47a250a004c1cc74e572595
-dxfTGcXJoc$_$1,-dxfTGcXJoc,1,audio,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-dxfTGcXJoc\1.mp4,16.161003,16.018125,50x74,74,50,0.323220,50,zero vector with audio_mask=0,16 kHz mono; MFCC/chroma/spectral/pitch/energy statistics,b5ffdc98a4a98b8f0aae55dee5fed66a43bcb129f47a250a004c1cc74e572595
-dxfTGcXJoc$_$1,-dxfTGcXJoc,1,vision,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-dxfTGcXJoc\1.mp4,16.161003,16.161003,50x35,35,50,0.323220,50,nearest center frame; zero vector with vision_mask=0,OpenCV face/appearance/texture/optical-flow descriptors,b5ffdc98a4a98b8f0aae55dee5fed66a43bcb129f47a250a004c1cc74e572595
-dxfTGcXJoc$_$0,-dxfTGcXJoc,0,text,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-dxfTGcXJoc\0.mp4,20.500000,20.500000,50x768,768,50,0.410000,50,zero vector with text_mask=0,distilbert-base-uncased; mean of last 4 hidden layers; overlap-weighted pooling,04bd0be907fb46c613f926fe1b06bc2c3b30881c293156510baa34a4105ade55
-dxfTGcXJoc$_$0,-dxfTGcXJoc,0,audio,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-dxfTGcXJoc\0.mp4,20.500000,20.410375,50x74,74,50,0.410000,50,zero vector with audio_mask=0,16 kHz mono; MFCC/chroma/spectral/pitch/energy statistics,04bd0be907fb46c613f926fe1b06bc2c3b30881c293156510baa34a4105ade55
-dxfTGcXJoc$_$0,-dxfTGcXJoc,0,vision,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-dxfTGcXJoc\0.mp4,20.500000,20.500000,50x35,35,50,0.410000,50,nearest center frame; zero vector with vision_mask=0,OpenCV face/appearance/texture/optical-flow descriptors,04bd0be907fb46c613f926fe1b06bc2c3b30881c293156510baa34a4105ade55
-dxfTGcXJoc$_$2,-dxfTGcXJoc,2,text,附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-dxfTGcXJoc\2.mp4,16.697982,16.697982,50x768,768,50,0.333960,50,zero vector with text_mask=0,distilbert-base-uncased; mean of last 4 hidden layers; overlap-weighted pooling,46a5e523b5dd00364c99a3bcbc6fae4c80e1382a84b5b5e681c46eb074ed10f7
