id,rank,window_index,source_video,video_duration_s,target_time_s,actual_frame_time_s,nearest_frame_error_s,frame_path,frame_sha256
11,4,13,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\11.mp4,5.803971,0.270000,0.266667,0.003333,q3_explainability\q3_aligned_text_bert_final\attachment4\video_keyframes\11_rank_04_window_13.jpg,e1fe401906d52257b20883038d3ac37f2a95deb253385124527383874416d175
11,5,14,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\11.mp4,5.803971,0.290000,0.300000,0.010000,q3_explainability\q3_aligned_text_bert_final\attachment4\video_keyframes\11_rank_05_window_14.jpg,9849a16edbad6b11f609112c1c829eab335d82877a161ad6f2bb95473f21ee88
11,6,8,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\11.mp4,5.803971,0.170000,0.166667,0.003333,q3_explainability\q3_aligned_text_bert_final\attachment4\video_keyframes\11_rank_06_window_08.jpg,5e37eb81bf6dbe4dc9f19d73a3143be0ff04e2c84e8828d6c976aeb482c51c01
12,6,2,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\12.mp4,13.013997,0.050000,0.066667,0.016667,q3_explainability\q3_aligned_text_bert_final\attachment4\video_keyframes\12_rank_06_window_02.jpg,e16be22c81ff86598903c2e5294f08550f61a278d083dfbf1d9cc7cd2bb7ee3f
14,2,16,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\14.mp4,10.350977,0.330000,0.333333,0.003333,q3_explainability\q3_aligned_text_bert_final\attachment4\video_keyframes\14_rank_02_window_16.jpg,1dfa187cade40c4589f91600ceef4ef08480c9f959779b5b6d72487ef605fe97
14,3,19,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\14.mp4,10.350977,0.390000,0.400000,0.010000,q3_explainability\q3_aligned_text_bert_final\attachment4\video_keyframes\14_rank_03_window_19.jpg,ad779e251347b6b96e38b265ba93777bea1fc3248b42ced91d3622ded3785714
14,4,17,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\14.mp4,10.350977,0.350000,0.333333,0.016667,q3_explainability\q3_aligned_text_bert_final\attachment4\video_keyframes\14_rank_04_window_17.jpg,1dfa187cade40c4589f91600ceef4ef08480c9f959779b5b6d72487ef605fe97
15,1,21,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\15.mp4,7.333333,0.430000,0.433333,0.003333,q3_explainability\q3_aligned_text_bert_final\attachment4\video_keyframes\15_rank_01_window_21.jpg,9410bc1db694f4850d9513bfe20ca954889ba6ada8bce52317d9bdfd256e2612
15,2,20,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\15.mp4,7.333333,0.410000,0.400000,0.010000,q3_explainability\q3_aligned_text_bert_final\attachment4\video_keyframes\15_rank_02_window_20.jpg,ca71d03b52b53589a2c4dbcdcad8b38e8f69b47068e304596792b23a92503aa5
15,5,17,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\15.mp4,7.333333,0.350000,0.333333,0.016667,q3_explainability\q3_aligned_text_bert_final\attachment4\video_keyframes\15_rank_05_window_17.jpg,ea9197f4a54621ee95622a691ee53612b12992db0625a1f3fc9b56de190d37db
16,3,4,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\16.mp4,3.113997,0.090000,0.100000,0.010000,q3_explainability\q3_aligned_text_bert_final\attachment4\video_keyframes\16_rank_03_window_04.jpg,53bbec473c5feb165a6af089aa61c8b67f976412f8bcb58e199b2887f0365e76
16,5,6,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\16.mp4,3.113997,0.130000,0.133333,0.003333,q3_explainability\q3_aligned_text_bert_final\attachment4\video_keyframes\16_rank_05_window_06.jpg,4705d10aea660317699d7772873751f4d75b1e80cb352f8a3a454c286d9b7b0b
19,2,33,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\19.mp4,13.683000,0.670000,0.666667,0.003333,q3_explainability\q3_aligned_text_bert_final\attachment4\video_keyframes\19_rank_02_window_33.jpg,824d1258d81bcb80e4214419ffbda997d63784e2b584c5663d8af7836f22924e
19,3,34,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\19.mp4,13.683000,0.690000,0.700000,0.010000,q3_explainability\q3_aligned_text_bert_final\attachment4\video_keyframes\19_rank_03_window_34.jpg,6a269c618d91919eb67395dbceb2ebc9d18a7a811d14f029d98c54ba864d75d4
19,4,29,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\19.mp4,13.683000,0.590000,0.600000,0.010000,q3_explainability\q3_aligned_text_bert_final\attachment4\video_keyframes\19_rank_04_window_29.jpg,efa3152c64e57308b5dfcfe8b7a593f5b421c3b4fd13ff37ea0b5d3bcef4f091
20,4,24,E题复杂场景下多模态情感识别的数学建模与算法设计\E题数据\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\20.mp4,10.952995,0.490000,0.500000,0.010000,q3_explainability\q3_aligned_text_bert_final\attachment4\video_keyframes\20_rank_04_window_24.jpg,356bb18bb15f897b08627cd7e566c7a53b59103fbeadbcabe3fd0f413d03605f
